,SitID,HorID,Pick,Quality,Tops
0,102496,1000,321,1,mannville
1,102496,2000,        ,-1,t61
2,102496,3000,        ,-1,t51
3,102496,4000,        ,-1,t41
4,102496,5000,438,2,t31
5,102496,6000,        ,-1,clw_wab
6,102496,7000,458,3,t21
7,102496,9000,468,3,t15
8,102496,9500,468,3,e14
9,102496,10000,471.5,3,t11
10,102496,11000,475,3,t10.5
11,102496,12000,475,3,e10
12,102496,13000,475,3,mcmurray
13,102496,14000,561,1,paleozoic
14,102497,1000,354,1,mannville
15,102497,2000,        ,-1,t61
16,102497,3000,        ,-1,t51
17,102497,4000,        ,-1,t41
18,102497,5000,477,1,t31
19,102497,6000,        ,-1,clw_wab
20,102497,7000,499.5,3,t21
21,102497,9000,502.5,3,t15
22,102497,9500,502.5,3,e14
23,102497,10000,511.5,3,t11
24,102497,11000,515,3,t10.5
25,102497,12000,515,3,e10
26,102497,13000,515,3,mcmurray
27,102497,14000,604.5,1,paleozoic
28,102498,1000,317.5,1,mannville
29,102498,2000,        ,-1,t61
30,102498,3000,        ,-1,t51
31,102498,4000,        ,-1,t41
32,102498,5000,442,1,t31
33,102498,6000,        ,-1,clw_wab
34,102498,7000,464,3,t21
35,102498,9000,469,3,t15
36,102498,9500,469,3,e14
37,102498,10000,475,3,t11
38,102498,11000,480,3,t10.5
39,102498,12000,480,3,e10
40,102498,13000,480,3,mcmurray
41,102498,14000,564,1,paleozoic
42,102500,1000,384,1,mannville
43,102500,2000,        ,-1,t61
44,102500,3000,        ,-1,t51
45,102500,4000,        ,-1,t41
46,102500,5000,509,1,t31
47,102500,6000,        ,-1,clw_wab
48,102500,7000,536,3,t21
49,102500,9000,539,3,t15
50,102500,9500,539,3,e14
51,102500,10000,545,3,t11
52,102500,11000,549,3,t10.5
53,102500,12000,549,3,e10
54,102500,13000,549,3,mcmurray
55,102500,14000,636.5,1,paleozoic
56,102501,1000,367.5,1,mannville
57,102501,2000,        ,-1,t61
58,102501,3000,        ,-1,t51
59,102501,4000,        ,-1,t41
60,102501,5000,489.5,1,t31
61,102501,6000,        ,-1,clw_wab
62,102501,7000,515,3,t21
63,102501,9000,520,3,t15
64,102501,9500,520,3,e14
65,102501,10000,525.5,3,t11
66,102501,11000,529,2,t10.5
67,102501,12000,529,2,e10
68,102501,13000,529,2,mcmurray
69,102501,14000,613,1,paleozoic
70,102503,1000,335.5,1,mannville
71,102503,2000,        ,-1,t61
72,102503,3000,        ,-1,t51
73,102503,4000,        ,-1,t41
74,102503,5000,449.5,1,t31
75,102503,6000,        ,-1,clw_wab
76,102503,7000,473,3,t21
77,102503,9000,475,3,t15
78,102503,9500,475,3,e14
79,102503,10000,486,3,t11
80,102503,11000,488.5,2,t10.5
81,102503,12000,488.5,2,e10
82,102503,13000,488.5,2,mcmurray
83,102503,14000,553.5,1,paleozoic
84,102505,1000,350.5,1,mannville
85,102505,2000,        ,-1,t61
86,102505,3000,        ,-1,t51
87,102505,4000,        ,-1,t41
88,102505,5000,464,1,t31
89,102505,6000,        ,-1,clw_wab
90,102505,7000,487.5,3,t21
91,102505,9000,489,3,t15
92,102505,9500,489,3,e14
93,102505,10000,496,3,t11
94,102505,11000,501.5,2,t10.5
95,102505,12000,501.5,2,e10
96,102505,13000,501.5,2,mcmurray
97,102505,14000,572.5,1,paleozoic
98,102507,1000,386,1,mannville
99,102507,2000,        ,-1,t61
100,102507,3000,        ,-1,t51
101,102507,4000,        ,-1,t41
102,102507,5000,506,1,t31
103,102507,6000,        ,-1,clw_wab
104,102507,7000,539.5,3,t21
105,102507,9000,545,3,t15
106,102507,9500,545,3,e14
107,102507,10000,549,3,t11
108,102507,11000,553.5,2,t10.5
109,102507,12000,553.5,2,e10
110,102507,13000,553.5,2,mcmurray
111,102507,14000,606.5,1,paleozoic
112,102514,1000,339.5,1,mannville
113,102514,2000,        ,-1,t61
114,102514,3000,        ,-1,t51
115,102514,4000,        ,-1,t41
116,102514,5000,454.5,1,t31
117,102514,6000,        ,-1,clw_wab
118,102514,7000,483,3,t21
119,102514,9000,486,3,t15
120,102514,9500,486,3,e14
121,102514,10000,491,3,t11
122,102514,11000,493.5,3,t10.5
123,102514,12000,493.5,3,e10
124,102514,13000,493.5,3,mcmurray
125,102514,14000,558,1,paleozoic
126,102517,1000,378,1,mannville
127,102517,2000,        ,-1,t61
128,102517,3000,        ,-1,t51
129,102517,4000,        ,-1,t41
130,102517,5000,495.5,1,t31
131,102517,6000,        ,-1,clw_wab
132,102517,7000,523,3,t21
133,102517,9000,527.5,3,t15
134,102517,9500,527.5,3,e14
135,102517,10000,532.5,3,t11
136,102517,11000,536.5,2,t10.5
137,102517,12000,536.5,2,e10
138,102517,13000,536.5,2,mcmurray
139,102517,14000,615,1,paleozoic
140,102518,1000,372.5,1,mannville
141,102518,2000,        ,-1,t61
142,102518,3000,        ,-1,t51
143,102518,4000,        ,-1,t41
144,102518,5000,488,1,t31
145,102518,6000,        ,-1,clw_wab
146,102518,7000,511,3,t21
147,102518,9000,513,3,t15
148,102518,9500,513,3,e14
149,102518,10000,516,3,t11
150,102518,11000,528,1,t10.5
151,102518,12000,528,1,e10
152,102518,13000,528,1,mcmurray
153,102518,14000,588.5,1,paleozoic
154,102565,1000,365.5,1,mannville
155,102565,2000,        ,-1,t61
156,102565,3000,        ,-1,t51
157,102565,4000,        ,-1,t41
158,102565,5000,473.5,1,t31
159,102565,6000,        ,-1,clw_wab
160,102565,7000,497.5,2,t21
161,102565,9000,504,3,t15
162,102565,9500,504,3,e14
163,102565,10000,510,3,t11
164,102565,11000,514,1,t10.5
165,102565,12000,514,1,e10
166,102565,13000,514,1,mcmurray
167,102565,14000,568.5,1,paleozoic
168,102577,1000,329.5,1,mannville
169,102577,2000,        ,-1,t61
170,102577,3000,        ,-1,t51
171,102577,4000,        ,-1,t41
172,102577,5000,448,1,t31
173,102577,6000,        ,-1,clw_wab
174,102577,7000,475,3,t21
175,102577,9000,478,3,t15
176,102577,9500,478,3,e14
177,102577,10000,483,3,t11
178,102577,11000,487.5,1,t10.5
179,102577,12000,487.5,1,e10
180,102577,13000,487.5,1,mcmurray
181,102577,14000,552,1,paleozoic
182,102581,1000,351,1,mannville
183,102581,2000,        ,-1,t61
184,102581,3000,        ,-1,t51
185,102581,4000,        ,-1,t41
186,102581,5000,469,1,t31
187,102581,6000,        ,-1,clw_wab
188,102581,7000,497,3,t21
189,102581,9000,500.5,3,t15
190,102581,9500,500.5,3,e14
191,102581,10000,505,3,t11
192,102581,11000,509,1,t10.5
193,102581,12000,509,1,e10
